id,i,name_tokens,ingredient_tokens,steps_tokens,techniques,calorie_level,ingredient_ids
322069,63029,"[40480, 857, 643, 1631, 16296, 5339, 40481]","[[1143, 7406], [1294, 12404], [27593], [2507, 6444], [2274, 10841, 6020], [6812], [589, 260, 4001, 17918], [1657, 17004, 17918], [15473, 8361], [15473, 10166], [6953], [1430, 857, 643, 1631], [837, 7327]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 9378, 250, 40478, 40482, 14218, 566, 53, 34, 284, 3652, 16594, 6847, 40478, 40482, 500, 246, 1220, 4835, 39587, 240, 23667, 481, 1143, 7406, 488, 481, 12404, 40478, 40482, 5539, 715, 11868, 2525, 1073, 20726, 240, 674, 6018, 617, 481, 2525, 488, 3383, 485, 2548, 5895, 1571, 40478, 40482, 500, 246, 1719, 5024, 240, 7087, 1281, 481, 17921, 27593, 240, 2507, 6444, 240, 2274, 10841, 6020, 240, 488, 6812, 556, 531, 7641, 34062, 562, 277, 2176, 40478, 40482, 29913, 1281, 481, 589, 260, 4001, 17918, 240, 1657, 17004, 17918, 240, 15473, 8361, 240, 15473, 10166, 240, 6953, 240, 488, 1430, 857, 643, 1631, 40478, 40482, 9467, 666, 481, 8441, 9019, 556, 246, 9082, 1073, 862, 16343, 40478, 40482, 9467, 500, 481, 837, 7327, 488, 481, 12404, 6761, 1143, 7406, 1009, 40478, 40482, 8240, 481, 22306, 666, 481, 3572, 6847, 40478, 40482, 19007, 500, 481, 729, 6720, 10906, 562, 8393, 485, 15936, 1571, 240, 522, 1073, 246, 32461, 13908, 2323, 551, 2698, 40478, 40482, 3383, 5339, 485, 2548, 2314, 781, 9117, 617, 481, 6847, 40478, 40481]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[5825, 6212, 342, 800, 1043, 2499, 63, 7887, 332, 335, 6270, 3489, 7642]"
486619,103561,"[40480, 2032, 13731, 16296, 36595, 40481]","[[16296], [15000, 755, 4914], [13731, 755, 4914], [755, 22118], [6444], [5940]]","[40480, 40482, 16172, 16296, 40478, 40482, 1072, 589, 16126, 500, 246, 37588, 40478, 40482, 12172, 562, 14635, 2460, 522, 1073, 507, 535, 498, 481, 770, 30173, 40478, 40482, 3545, 267, 40478, 40481]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[342, 7474, 6858, 3829, 6906, 4717]"
61562,19607,"[40480, 15000, 4914, 19042, 40481]","[[1353], [8780], [6953], [589, 260, 4001, 17918], [6812], [5940], [4087, 15000, 21278], [24106, 18347], [11951, 4914], [9426, 260, 2417, 5317, 9079], [3151, 12486], [8289, 17881], [1430, 15341]]","[40480, 40482, 500, 4835, 39587, 240, 2030, 1353, 240, 8780, 488, 6953, 485, 246, 14057, 40478, 40482, 4846, 17918, 589, 491, 1098, 488, 9467, 1073, 507, 5526, 246, 2215, 40478, 40482, 6018, 617, 617, 2525, 240, 851, 1229, 284, 1571, 40478, 40482, 4846, 6812, 240, 566, 491, 246, 720, 240, 4869, 862, 861, 1183, 8616, 40478, 40482, 3423, 4869, 1073, 9019, 544, 3866, 488, 6549, 40478, 40482, 2869, 702, 277, 278, 282, 7420, 491, 1423, 281, 4550, 2951, 1557, 246, 35050, 15473, 5070, 40478, 40482, 19007, 491, 26641, 9378, 562, 6828, 260, 14635, 1571, 40478, 40482, 6018, 485, 246, 6859, 8967, 40478, 40482, 2198, 4620, 19042, 1189, 40478, 40482, 6018, 7124, 488, 1233, 2913, 40478, 40482, 6018, 488, 29649, 2022, 17532, 1151, 13319, 40478, 40482, 851, 2548, 40478, 40482, 500, 246, 5024, 240, 2523, 481, 5940, 240, 21278, 7087, 488, 18347, 504, 954, 3305, 562, 280, 1571, 40478, 40482, 851, 1229, 562, 284, 1571, 40478, 40482, 6748, 500, 481, 6198, 4914, 40478, 40482, 3926, 481, 4914, 19042, 488, 9502, 7124, 40478, 40482, 500, 246, 2262, 4835, 39587, 240, 23667, 27943, 16126, 40478, 40482, 5539, 488, 9467, 715, 954, 2525, 1073, 5317, 25405, 488, 9019, 544, 3866, 40478, 40482, 20761, 715, 4914, 19042, 40478, 40482, 5463, 562, 491, 1423, 566, 2088, 781, 6255, 40478, 40482, 8658, 746, 775, 22519, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,"[7655, 840, 6270, 63, 2499, 4717, 3910, 77, 7705, 1388, 6473, 1824, 3497]"
366570,111549,"[40480, 33620, 734, 744, 3707, 6821, 9079, 40481]","[[1270, 1645, 28447], [10444, 6020], [15022, 796, 527], [6167, 20323], [734, 744, 3707, 6821]]","[40480, 40482, 1529, 246, 2801, 2898, 485, 1892, 1270, 1645, 28447, 30029, 500, 1444, 485, 925, 35135, 40478, 40482, 4309, 3135, 246, 15473, 5070, 556, 6913, 6020, 278, 7933, 40478, 40482, 9154, 566, 260, 2981, 498, 481, 35135, 500, 246, 2433, 8556, 504, 481, 15473, 5070, 40478, 40482, 645, 10114, 240, 562, 13144, 9079, 240, 1584, 15473, 5070, 556, 14653, 40478, 40482, 3852, 14653, 485, 925, 19473, 40478, 40482, 4309, 3135, 14653, 556, 6913, 7933, 40478, 40482, 1082, 1270, 1645, 35135, 504, 14653, 240, 1070, 1238, 715, 14653, 19473, 40478, 40482, 500, 246, 1220, 5024, 9467, 1281, 481, 10444, 6020, 240, 15022, 488, 20323, 40478, 40482, 4309, 4233, 481, 1270, 1645, 35135, 556, 566, 260, 2981, 498, 481, 6020, 9019, 40478, 40482, 35009, 556, 566, 260, 2981, 498, 481, 6821, 40478, 40482, 19007, 500, 246, 43, 8393, 6937, 10906, 670, 292, 1571, 522, 1073, 3746, 40478, 40482, 2548, 2055, 504, 246, 6859, 8967, 40478, 40482, 7035, 556, 481, 5040, 1270, 1645, 35135, 240, 6020, 9019, 488, 6821, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[7940, 5006, 3203, 2212, 5180]"
269811,144063,"[40480, 734, 744, 3707, 16953, 5867, 5355, 556, 4017, 23488, 10734, 488, 783, 40481]","[[734, 744, 3707, 6821], [5867, 6285], [1641, 5033, 31950, 17169], [6167, 20323], [15022, 8361], [6953], [11332], [10444, 6020], [6812], [1657, 13569, 23488], [4017], [783, 10837]]","[40480, 40482, 729, 2525, 10906, 485, 44, 12354, 250, 40478, 40482, 1072, 28058, 556, 17533, 498, 10444, 6020, 260, 11868, 2525, 504, 481, 8824, 40478, 40482, 8654, 481, 10837, 488, 8556, 504, 246, 729, 35050, 15473, 5070, 40478, 40482, 3990, 556, 15022, 8361, 240, 6953, 488, 11332, 485, 3301, 40478, 40482, 19007, 1000, 6913, 5867, 40478, 40482, 15473, 720, 9775, 504, 23171, 498, 1892, 40478, 40482, 1759, 702, 29376, 5867, 500, 2548, 1353, 40478, 40482, 37926, 5867, 822, 8441, 674, 3135, 500, 1641, 5033, 278, 6821, 9126, 500, 246, 5024, 40478, 40482, 11606, 500, 8441, 833, 488, 833, 500, 1641, 5033, 9019, 40478, 40482, 1082, 500, 1845, 6020, 488, 3383, 485, 14046, 1073, 33620, 488, 9649, 822, 40478, 40482, 1082, 504, 2405, 4886, 485, 9933, 40478, 40482, 7087, 4017, 488, 23488, 715, 954, 2525, 500, 246, 10734, 6847, 40478, 40482, 512, 759, 38321, 481, 4017, 278, 23488, 33373, 485, 704, 9679, 40478, 40482, 616, 638, 812, 580, 725, 680, 789, 689, 815, 1033, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[5180, 1252, 5158, 2212, 3217, 6270, 5319, 5006, 2499, 7839, 3723, 4918]"
233696,157487,"[40480, 39568, 10476, 40481]","[[17008], [3137, 4564, 7524], [3137, 14721, 7524], [36374, 3388, 650, 256, 6444], [755]]","[40480, 40482, 500, 246, 13019, 30338, 240, 23667, 481, 17008, 240, 4564, 7524, 240, 14721, 7524, 488, 6444, 556, 246, 6482, 498, 755, 488, 3033, 15066, 40478, 40482, 9261, 666, 531, 1122, 260, 8861, 1846, 715, 755, 40478, 40482, 1325, 15405, 556, 4564, 8654, 488, 246, 831, 621, 573, 10538, 8765, 488, 4103, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,"[695, 2853, 2837, 1689, 3824]"
3537,55609,"[40480, 4787, 25388, 4074, 7950, 4518, 10601, 40481]","[[15000, 493, 2807, 17169], [4074, 7950, 4518, 7327], [8780], [13249, 7524], [10770, 6728, 34904, 5940], [4851, 831, 20040], [4787, 22213, 11125], [11951, 4914]]","[40480, 40482, 7087, 1281, 589, 19093, 16126, 40478, 40482, 3336, 4306, 666, 481, 2695, 498, 531, 292, 260, 3652, 4478, 1983, 6847, 40478, 40482, 19007, 491, 43, 22328, 9378, 562, 292, 260, 5895, 1571, 40478, 40482, 2548, 40478, 40482, 23667, 10770, 6728, 5940, 240, 13249, 7524, 488, 4430, 9651, 40478, 40482, 2523, 1073, 3866, 40478, 40482, 4846, 22213, 11125, 40478, 40482, 2523, 491, 954, 3305, 1073, 862, 16343, 40478, 40482, 6748, 500, 6198, 4914, 40478, 40482, 8240, 715, 16000, 19093, 40478, 40482, 9233, 1073, 3677, 40478, 40482, 668, 781, 6255, 240, 851, 1229, 491, 844, 7858, 562, 670, 7648, 1571, 40478, 40482, 1325, 15405, 556, 6198, 4914, 488, 5317, 14934, 856, 514, 40478, 40481]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,"[7498, 4493, 840, 4253, 2486, 3344, 3073, 7705]"
12668,157397,"[40480, 15022, 32043, 13249, 40481]","[[32043, 1174, 23996], [10444, 6020], [15022], [30295, 240, 36, 965, 498], [6953, 488, 11332]]","[40480, 40482, 7570, 481, 32043, 562, 670, 281, 260, 284, 1571, 522, 1073, 481, 22372, 1125, 525, 512, 6469, 40478, 40482, 8676, 2525, 6020, 500, 246, 14046, 6847, 488, 715, 26446, 2525, 4835, 836, 481, 15022, 1073, 3746, 40478, 40482, 9467, 500, 481, 13249, 36, 965, 40478, 40482, 1072, 32043, 500, 246, 5024, 8240, 481, 15022, 488, 36, 965, 715, 507, 488, 4103, 2198, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[761, 5006, 3184, 4304, 6276]"
199727,53976,"[40480, 20266, 34606, 252, 277, 280, 281, 282, 284, 2437, 1605, 2077, 40481]","[[13326, 3204], [6878, 26285], [6444], [37754, 10734], [1353], [2437, 1605, 2077]]","[40480, 40482, 13206, 4739, 488, 1892, 1210, 3549, 240, 1082, 9019, 488, 6183, 666, 2262, 5082, 556, 246, 2240, 3403, 40478, 40482, 2030, 485, 246, 14057, 9467, 485, 3135, 13241, 40478, 40482, 1300, 5609, 714, 485, 11868, 278, 954, 2454, 488, 32093, 562, 6828, 1571, 40478, 40482, 21596, 240, 1300, 481, 5609, 609, 485, 1583, 488, 18115, 481, 10734, 240, 1073, 1241, 589, 544, 1374, 240, 580, 881, 485, 9467, 10450, 669, 10734, 544, 1036, 11197, 40478, 40482, 3140, 498, 40236, 481, 9623, 240, 29211, 10734, 759, 883, 803, 1582, 8373, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[6443, 6082, 6906, 6696, 7655, 6725]"
349773,81560,"[40480, 1203, 7304, 32301, 10734, 40481]","[[1353], [3137, 13249, 7524], [683, 8117, 14389], [9301, 4920, 14389], [5542, 14389], [6444], [3319, 6949, 6953], [1430, 15341], [1430, 8828, 16361]]","[40480, 40482, 23667, 280, 7420, 1353, 488, 13249, 7524, 500, 5895, 260, 6642, 660, 2212, 9912, 5082, 40478, 40482, 15258, 240, 5820, 488, 1892, 14389, 666, 281, 278, 282, 3652, 1251, 514, 40478, 40482, 7087, 3585, 666, 13249, 1353, 557, 1443, 557, 14389, 640, 1892, 240, 485, 7154, 25949, 40478, 40482, 4846, 6444, 240, 17195, 6953, 240, 15341, 240, 488, 8828, 16361, 40478, 40482, 9467, 715, 11868, 1583, 2525, 1073, 6444, 1401, 31225, 40478, 40482, 2030, 485, 14057, 40478, 40482, 18115, 2525, 240, 2454, 240, 488, 32093, 1073, 14389, 640, 2022, 488, 1241, 16411, 240, 9822, 10450, 240, 670, 7379, 1571, 40478, 40482, 6018, 617, 2525, 40478, 40482, 2506, 13995, 567, 6949, 240, 24440, 14389, 485, 27919, 30173, 40478, 40482, 36305, 32301, 10734, 666, 1845, 2698, 277, 16246, 1846, 2274, 826, 17192, 240, 1970, 277, 278, 280, 260, 3652, 2288, 491, 1495, 498, 17192, 40478, 40482, 6018, 1352, 12258, 40478, 40482, 6947, 7932, 14237, 488, 30655, 556, 5393, 4850, 40478, 40482, 2454, 556, 1845, 12917, 40478, 40482, 11072, 6803, 8677, 40478, 40482, 4086, 17192, 500, 246, 5082, 498, 11468, 1353, 562, 7379, 1571, 40478, 40482, 2548, 17192, 2055, 40478, 40482, 2961, 500, 246, 2548, 1294, 1082, 562, 609, 485, 277, 1803, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[7655, 2832, 3161, 3347, 3999, 6906, 4096, 3497, 3478]"
437021,37539,"[40480, 3746, 13995, 2378, 40481]","[[10837], [8780], [978, 19414], [17918], [6167, 20930, 510], [6953], [11332], [4914], [592, 5552, 23488], [1061, 494, 813, 2141], [9689]]","[40480, 40482, 5539, 10837, 500, 11468, 6953, 1353, 1073, 4941, 40478, 40482, 9933, 488, 1233, 2913, 40478, 40482, 500, 4835, 39587, 9423, 8780, 40478, 40482, 4835, 836, 21453, 500, 8780, 1073, 2022, 240, 9467, 500, 17918, 240, 20930, 510, 240, 6953, 488, 21199, 255, 40478, 40482, 8297, 4846, 4914, 240, 4748, 12992, 6536, 1073, 10734, 6524, 1834, 40478, 40482, 6018, 617, 2525, 40478, 40482, 851, 2548, 2314, 40478, 40482, 4846, 23488, 488, 33112, 240, 9467, 1073, 3866, 40478, 40482, 1082, 10837, 500, 277, 260, 277, 278, 42, 35, 241, 40478, 40482, 26855, 5465, 40478, 40482, 2454, 556, 10734, 40478, 40482, 19007, 305, 43, 8393, 562, 6828, 1571, 40478, 40482, 781, 6255, 35009, 6195, 498, 578, 949, 5094, 556, 15737, 9689, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,"[5648, 840, 5966, 2683, 2378, 6270, 5319, 1909, 2148, 4623, 298]"
427479,170685,"[40480, 1426, 13983, 1045, 488, 17841, 13644, 3531, 40481]","[[1426, 13983, 1045], [4017], [17841], [6020], [16212, 13644, 3531]]","[40480, 40482, 23667, 481, 1426, 13983, 1045, 240, 4017, 240, 17841, 488, 6020, 485, 1983, 246, 831, 478, 4481, 40478, 40482, 8240, 715, 481, 13644, 3531, 488, 8658, 746, 562, 280, 1808, 40478, 40482, 19276, 481, 13644, 3531, 715, 246, 11868, 2525, 562, 281, 260, 282, 1571, 1183, 737, 522, 1073, 9649, 485, 704, 9679, 40478, 40481]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[7544, 3723, 6183, 4987, 4115]"
292373,28850,"[40480, 13249, 11332, 5867, 24286, 3612, 11551, 40481]","[[31801, 5867, 6285], [13249, 11332, 29471, 484], [10444, 6020], [19811], [23687, 3674], [5825], [1061, 494, 813, 2141], [20003], [7217, 6089], [3572, 23488]]","[40480, 40482, 2525, 609, 10444, 6020, 715, 11868, 2525, 500, 11868, 278, 1719, 6847, 40478, 40482, 1892, 5867, 6285, 500, 1444, 485, 925, 282, 2808, 15786, 498, 5867, 6285, 40478, 40482, 7033, 5867, 556, 13249, 11332, 29471, 484, 40478, 40482, 5539, 562, 15152, 284, 1571, 504, 1183, 737, 522, 1073, 9649, 822, 40478, 40482, 8676, 2933, 33112, 504, 1183, 737, 498, 481, 24286, 5825, 40478, 40482, 8061, 24286, 5825, 504, 28058, 562, 670, 246, 2176, 40478, 40482, 485, 925, 2752, 10734, 240, 23667, 20003, 488, 7217, 500, 1220, 5024, 40478, 40482, 4846, 23488, 485, 3301, 40478, 40482, 1082, 5867, 504, 5339, 1814, 702, 23687, 488, 16954, 40478, 40482, 1495, 811, 556, 2752, 10734, 267, 3545, 267, 271, 248, 271, 248, 271, 248, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2,"[1252, 4263, 5006, 7213, 4308, 6153, 4623, 4053, 2200, 4880]"
225991,172707,"[40480, 955, 33112, 13019, 40481]","[[15444], [7304, 24329], [3137, 13249, 7524], [977, 510, 596, 7588, 252]]","[40480, 40482, 3926, 246, 13019, 30338, 1444, 1585, 556, 755, 40478, 40482, 4846, 15444, 240, 24329, 240, 13249, 7524, 488, 7588, 252, 488, 3033, 862, 40478, 40482, 3926, 867, 3435, 556, 755, 488, 9261, 481, 13019, 13241, 1210, 688, 40478, 40482, 1325, 15405, 1183, 556, 2808, 8654, 498, 7304, 645, 10114, 488, 4103, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,"[7132, 154, 2832, 1943]"
495761,108771,"[40480, 28140, 568, 556, 2008, 565, 2113, 13249, 31950, 17169, 40481]","[[8780], [15022, 796, 527], [3137, 31950, 32327], [3137, 2008, 565, 2113], [13249, 36, 965], [6953], [3137, 1430, 1301, 11332], [28140, 568, 2226, 3531], [1061, 494, 813, 2141], [3572, 1338, 21172, 5465], [13249, 15042]]","[40480, 40482, 729, 2525, 10906, 485, 26641, 9378, 40478, 40482, 9423, 8780, 500, 246, 1220, 28058, 715, 11868, 2525, 240, 4846, 15022, 240, 488, 4835, 836, 277, 2176, 40478, 40482, 4846, 31950, 17169, 240, 2008, 565, 2113, 240, 13249, 36, 965, 240, 6953, 488, 11332, 40478, 40482, 9467, 862, 40478, 40482, 1082, 28140, 568, 504, 246, 15240, 260, 4346, 15473, 5070, 40478, 40482, 23667, 1061, 494, 813, 2141, 488, 1338, 21172, 5465, 40478, 40482, 2933, 715, 1183, 2226, 851, 40478, 40482, 1495, 556, 17169, 240, 11376, 4309, 485, 1150, 688, 874, 793, 40478, 40482, 19007, 5895, 260, 6642, 1571, 240, 522, 1073, 3316, 544, 4941, 488, 17169, 640, 3746, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[840, 3203, 2764, 2906, 4284, 6270, 2816, 3592, 4623, 3758, 4282]"
457236,147835,"[40480, 977, 510, 596, 570, 508, 746, 33825, 4914, 40481]","[[2712, 578, 12174], [36374, 3388, 650, 256, 6444], [2262, 4914], [14721, 7524], [21758], [14721, 35844]]","[40480, 40482, 500, 246, 37588, 240, 23667, 481, 17163, 2712, 578, 12174, 240, 6444, 240, 4914, 240, 488, 14721, 7524, 40478, 40482, 12172, 1073, 3866, 488, 14965, 40478, 40482, 18830, 1210, 22690, 10601, 1289, 802, 522, 1220, 13714, 40478, 40482, 1325, 15405, 556, 21758, 900, 13252, 488, 14721, 35844, 40478, 40481]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[255, 1689, 3668, 4384, 1591, 4399]"
138316,85481,"[40480, 5317, 8649, 12432, 3578, 8787, 40481]","[[8780], [23618, 6444], [15000, 18347], [589, 260, 4001, 17918], [7327], [1430, 15341], [5317, 9079]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 250, 40478, 40482, 500, 246, 1719, 13733, 5024, 2523, 8780, 488, 6444, 1073, 14965, 240, 2523, 500, 15000, 18347, 40478, 40482, 8297, 4846, 17918, 240, 7327, 240, 488, 15341, 40478, 40482, 9467, 500, 277, 277, 278, 280, 3026, 498, 5317, 1054, 11297, 488, 9467, 1073, 17532, 544, 862, 9126, 40478, 40482, 3612, 17532, 666, 566, 3652, 4537, 488, 1082, 504, 563, 35050, 11274, 5458, 40478, 40482, 19007, 562, 15152, 5895, 485, 6642, 1571, 522, 1073, 9021, 640, 1233, 488, 4309, 3746, 2507, 504, 2695, 40478, 40482, 6018, 617, 10906, 488, 2548, 504, 15473, 5458, 562, 280, 1571, 815, 1082, 504, 6859, 11444, 485, 2548, 2055, 40478, 40482, 15963, 5040, 5317, 9079, 500, 1220, 5024, 522, 2262, 260, 4648, 4438, 2165, 562, 6828, 2460, 40478, 40482, 9467, 9079, 522, 3916, 1634, 2165, 40478, 40482, 15963, 491, 5895, 260, 485, 7648, 260, 1420, 18555, 240, 9822, 522, 22717, 1073, 3866, 40478, 40482, 645, 2506, 246, 5024, 485, 9423, 9079, 240, 8240, 5317, 666, 246, 4438, 2165, 40478, 40482, 3524, 262, 246, 1220, 8487, 498, 481, 2165, 500, 481, 2061, 40478, 40482, 1547, 5654, 5317, 485, 20761, 715, 9021, 40478, 40482, 8658, 746, 9021, 562, 670, 284, 1571, 522, 1073, 5317, 544, 1233, 40478, 40482, 2961, 9021, 491, 844, 7858, 500, 3048, 2240, 10807, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[840, 5695, 7470, 63, 4958, 3497, 1388]"
249846,18175,"[40480, 12519, 25, 573, 10825, 8560, 2056, 712, 712, 2788, 9540, 40481]","[[15022, 796, 527], [3137, 14721, 7524], [3316, 10734], [6444], [978, 955, 541], [12519, 25, 573, 10825], [13179], [3137, 25, 555, 480, 15094, 3674], [19642, 24991]]","[40480, 40482, 500, 246, 1719, 5024, 29369, 1281, 6089, 16126, 1073, 6444, 544, 13411, 40478, 40482, 4846, 12519, 25, 573, 10825, 240, 13179, 240, 488, 25, 555, 480, 15094, 485, 6089, 240, 7413, 862, 40478, 40482, 9540, 1598, 580, 885, 280, 1808, 2339, 488, 11998, 240, 1809, 40478, 40482, 2030, 9540, 485, 844, 7858, 781, 6255, 40478, 40482, 4103, 9540, 19907, 556, 24991, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,"[3203, 2837, 2654, 6906, 1316, 8021, 1093, 2778, 6124]"
